학교명,도로명우편번호,도로명주소,도로명상세주소,좌표X,좌표Y
서울잠실초등학교,5507,서울특별시 송파구 올림픽로35길 20,(신천동/잠실초등학교),127.110799789543,37.5201410422976
서울잠신초등학교,5502,서울특별시 송파구 잠실로 32,/ 서울잠신초등학교 (잠실동),127.087943541063,37.5141481480252
서울잠동초등학교,5504,서울특별시 송파구 올림픽로35길 122,(신천동/ 잠동초등학교),127.099997855402,37.518364083155
서울위례초등학교,5410,서울특별시 강동구 명일로 23,(둔촌동),127.139436648101,37.5223185221619
서울오륜초등학교,5649,서울특별시 송파구 양재대로 1196,/ 서울오륜초등학교 (방이동),127.134396802963,37.5124274792928
서울오금초등학교,5654,서울특별시 송파구 위례성대로22길 11,(오금동/ 서울오금초등학교),127.131977915625,37.5093704878322
서울영풍초등학교,5744,서울특별시 송파구 오금로57길 15,/ 서울영풍초등학교 (거여동),127.143214689204,37.4961862376383
서울아주초등학교,5572,서울특별시 송파구 올림픽로4길 59,/ 서울아주초등학교 (잠실동),127.075317277909,37.50578969665
서울신천초등학교,5503,서울특별시 송파구 올림픽로 215,(잠실동/ 주공아파트),127.095036549398,37.5140077737504
서울신암초등학교,5242,서울특별시 강동구 올림픽로93길 33-16,/ 서울신암초등학교 (암사동),127.124404356441,37.5500236743432
서울신명초등학교,5300,서울특별시 강동구 명일로24길 33,/ 서울신명초등학교 (길동),127.149979091111,37.5409268527757
서울신가초등학교,5706,서울특별시 송파구 송이로 75,/ 서울신가초등학교 (가락동),127.119700425145,37.5003207198096
서울송파초등학교,5666,서울특별시 송파구 백제고분로 400,(송파동),127.111247174893,37.5069549745149
서울송전초등학교,5607,서울특별시 송파구 석촌호수로 159,(잠실동),127.095121373383,37.5088312569718
서울송례초등학교,5853,서울특별시 송파구 위례순환로 439,(장지동),127.13849585496,37.4778940251025
서울세륜초등학교,5649,서울특별시 송파구 양재대로 1264,/ 서울세륜초등학교 (방이동),127.134157724554,37.5185748448001
서울성일초등학교,5396,서울특별시 강동구 성내로15길 33,/ 서울성일초등학교 (성내동),127.128408263098,37.5297092388513
